Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Global_Sales_Log
PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,8.7,2.841998173611949
GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,7.8,2.8243506567983707
DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,7.1,2.790551422613954
DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,7.8,2.7813006628418027
PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,8.4,2.7713379403381286
X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,3.4,2.7555697170701863
GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,7.8,2.7498317351171653
PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,7.4,2.749192144433385
X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,6.3,2.7479117345273405
3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,7.8,2.747270914255491
PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,5.3,2.6939512767227085
X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,4.8,2.6858045921548905
X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,6.3,2.6720775406433925
PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,3.2,2.6616571615324998
PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,8.5,2.6461747973841225
Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,8.9,2.6275629501895237
3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,8.2,2.614471854142644
PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,6.4,2.612273245708441
PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,8.3,2.6108048166633746
DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,8.7,2.574899688314705
X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,7.8,2.574137783515943
N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,7.7,2.556451816951096
DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,7.4,2.547098670044448
3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,7.8,2.5400259490090797
PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,8.5,2.5384474167160302
Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,8.9,2.513656063073986
GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,7.6,2.4997952622817508
X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,7.9,2.485739636091892
PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,8.7,2.4807312783775197
3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,8.4,2.468946630209271
PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,7.5,2.4595888418037104
PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,6.3,2.451005098112319
SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,7.7,2.446685436967803
PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,7.5,2.4423470353692043
GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,7.8,2.4414770918606643
DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,7.7,2.424802725718295
X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,2.6,2.4203681286504293
Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,7.8,2.4087452888224363
3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,7.2,2.388762789235098
N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,7.4,2.386006701133118
X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,7.9,2.3850863145057892
PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.2,2.372111155642656
X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,7.0,2.3711778844596574
PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.0,2.3504224224082058
Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,7.3,2.3456445824544927
PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,2.6,2.337952236831337
X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,8.4,2.3331142980288684
SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,7.7,2.33214389523559
X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,7.1,2.3204250111223765
3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,8.7,2.318458442150336
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,7.8,2.2935443483418965
X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,8.4,2.281361456542419
SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,7.4,2.278292400425001
PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,4.3,2.258633205464863
XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8.2,2.2502386126218363
Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,7.4,2.238579763018133
Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,6.3,2.2267833795777636
PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,6.6,2.214846178686039
N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,7.4,2.2071749081893874
DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,7.8,2.2049722641270453
PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.7,2.2027647577118348
PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,7.6,2.1983350716202463
Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,7.4,2.196112848483529
PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,7.4,2.194999882314108
PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,8.6,2.1815467646169897
2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.5,2.175887439948088
DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,8.5,2.1656192379208883
PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,7.6,2.162172939277301
PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,5.7,2.1587147225743437
N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,7.4,2.151762203259462
PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,5.0,2.150598735996164
PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.7,2.149433913499871
3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,7.6,2.145931282948669
Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,9.1,2.1412419425852827
NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.7,2.135349173618132
XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,7.4,2.127040520479115
X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,7.6,2.1258479144939915
X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,7.4,2.1186622548331173
PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,8.6,2.1041341542702074
Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,8.0,2.1041341542702074
PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,7.5,2.1004689088719113
PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,6.5,2.0992441689760155
PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,9.1,2.0992441689760155
Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,9.0,2.0980179272527715
3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,7.8,2.096790180014449
PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,8.9,2.0955609235597192
WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,9.1,2.0906287310704004
GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,9.1,2.0881534822818573
GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,7.4,2.0731719286662407
PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,8.6,2.066862759472976
PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,8.5,2.057962510002712
PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,7.7,2.05668455455722
Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,7.3,2.048982334195127
X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,7.7,2.0476928433652555
PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,8.3,2.046401687601636
Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,7.4,2.0425181875752383
PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,8.4,2.038619547159581
PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,8.8,2.0360119837525
PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,7.4,2.0347056478384444
DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,7.4,2.030776369698555
NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,7.4,2.0162354657760435
PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,8.8,2.0135687975291283
PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,4.3,2.010894999144726
PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,6.9,2.0082140323914683
Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,8.6,2.0068708488450007
XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,8.6,2.005525858729668
PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,6.4,2.0028304393079956
GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,9.0,2.0028304393079956
PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,8.8,2.0014800002101243
GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,7.8,2.0001277349601105
X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,7.1,1.9933388426264242
X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,9.0,1.9906103279732201
GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,8.6,1.9892432737616872
SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,7.6,1.9878743481543455
PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,7.3,1.986503546020567
PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,8.1,1.9837562915454279
X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,7.8,1.9754689512968577
X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,7.4,1.9726911717329554
X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,8.3,1.958685340544036
PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,5.7,1.9572739077056285
PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,8.7,1.9530276168241771
GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,7.7,1.9501867058225737
PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,9.4,1.9501867058225737
PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,8.7,1.9444805562457188
PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,7.6,1.9387416595767009
PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,9.1,1.927164106234258
PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,6.8,1.9198594718553708
PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,9.2,1.9198594718553708
DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,8.8,1.9139771019523042
PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,8.9,1.9080599249242156
PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,6.1,1.8931119634883424
Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,8.9,1.8931119634883424
DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,7.2,1.891604804197771
NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,7.5,1.884034745337226
N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,7.6,1.8794650496471605
PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,8.6,1.8794650496471605
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,7.7,1.8779371654691073
X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,8.0,1.8702625307159986
GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,7.8,1.8702625307159986
PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,8.7,1.8687205103641835
PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,8.6,1.8687205103641835
XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,7.9,1.8687205103641835
GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,8.3,1.8671761085128091
GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,7.7,1.8656293177945105
N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,7.8,1.864080130807681
PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,7.1,1.8594181177018698
PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,7.6,1.8547342683894434
PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,7.9,1.8531680973566984
GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,7.5,1.8468787684491346
PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,7.3,1.8453002361560848
GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,7.1,1.8421356765531218
PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,8.9,1.840549633397487
X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,6.7,1.8389610707123492
PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,6.6,1.8389610707123492
N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,7.7,1.8357763546448291
XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,5.4,1.8357763546448291
PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,7.1,1.8341801851120072
X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,8.8,1.8341801851120072
PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,7.4,1.8309801823813363
PS2,2007,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,8.5,1.8293763327993617
3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,7.5,1.8293763327993617
WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,8.1,1.827769906751088
PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,8.8,1.8261608959453874
GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,7.7,1.8245492920510458
DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,8.6,1.8229350866965048
GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,7.7,1.8229350866965048
X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,6.1,1.8180767775454285
SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,7.7,1.8164520818184267
PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,4.0,1.814824742159051
PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,7.6,1.81319474994812
GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,7.7,1.81319474994812
PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,7.5,1.8115620965242347
PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,8.5,1.8115620965242347
X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,6.5,1.8082887711792655
DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,7.4,1.8066480817218056
PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,7.5,1.8066480817218056
DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,8.0,1.8050046959780757
GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,7.7,1.803358605071407
PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,8.0,1.803358605071407
PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,9.0,1.80005827204275
PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,8.0,1.7967470107390942
PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,9.2,1.7950872593207297
PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,7.8,1.7934247485471162
PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,7.7,1.791759469228055
PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,8.2,1.7884205679625405
Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,7.1,1.7884205679625405
DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,7.8,1.780024213009634
X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,8.5,1.780024213009634
PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,8.1,1.7783364488959144
PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,8.0,1.776645831418007
N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,7.4,1.7715567619105355
PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,7.8,1.769854633840005
WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,7.6,1.769854633840005
NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,7.5,1.766441661243765
PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,8.2,1.7647307968401358
PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,7.3,1.7613002617433464
PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,8.7,1.7578579175523736
PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,9.0,1.7561322915849038
DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,5.4,1.7509374747077997
PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,7.7,1.7457155307266483
X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,8.7,1.7457155307266483
PS4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,7.4,1.7422190236679187
PS2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,7.4,1.7404661748405044
PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,7.7,1.7369512327330598
PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,8.2,1.7351891177396608
PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,8.6,1.728109442151599
Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,7.6,1.7263316639055997
PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,8.1,1.7263316639055997
SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,7.4,1.724550719534605
GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,8.9,1.7227665977411035
Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,8.4,1.7227665977411035
3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,8.4,1.7209792871670078
X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,8.2,1.7173950539391927
Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.53,7.4,1.7101878155342436
PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,7.9,1.7101878155342436
X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,7.9,1.7101878155342436
2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5,7.7,1.7047480922384253
PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,8.2,1.7029282555214393
XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,6.4,1.7011051009599243
PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,7.9,1.7011051009599243
PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,7.8,1.6992786164338898
PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,3.4,1.6974487897568138
PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,8.9,1.6956156086751528
WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,8.5,1.691939133945844
WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,7.9,1.6900958154515549
PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,7.5,1.6882490928583902
PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,8.9,1.6845453849209058
X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,8.7,1.682688374173693
NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,7.6,1.682688374173693
PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,9.1,1.6808279085207734
Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,8.3,1.6789639750827106
PS3,2014,Shooter,Activision,1.56,1.93,0.19,0.68,4.36,4.8,1.6789639750827106
PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,8.1,1.6752256529721035
GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,7.7,1.6752256529721035
PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,9.0,1.6733512381777533
3DS,2011,Action,Nintendo,2.09,1.31,0.62,0.31,4.33,7.4,1.6733512381777533
WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,9.0,1.6714733033535532
PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,7.1,1.6714733033535532
2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,7.4,1.6695918352538475
X360,2014,Shooter,Activision,2.77,1.11,0.0,0.4,4.29,4.9,1.665818245870208
PS3,2014,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,4.5,1.66392609771817
X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,6.5,1.6620303625532709
GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,7.3,1.6563214983329508
PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,8.9,1.6544112780768316
PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,9.3,1.6544112780768316
PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,7.5,1.6524974018945473
